Date,Open,High,Low,Close*,Adj Close**,Volume
1-Oct-14,"3,591.02","3,680.22","3,319.83","3,679.99","3,679.99",-
1-Sep-14,"3,644.77","3,676.16","3,577.03","3,592.25","3,592.25",-
1-Aug-14,"3,501.61","3,644.83","3,458.44","3,643.33","3,643.33",-
1-Jul-14,"3,556.56","3,612.27","3,503.19","3,503.19","3,503.19",-
1-Jun-14,"3,481.15","3,565.48","3,466.99","3,552.18","3,552.18",-
1-May-14,"3,401.48","3,481.10","3,358.88","3,480.29","3,480.29",-
1-Apr-14,"3,378.66","3,421.23","3,273.74","3,400.46","3,400.46",-
1-Mar-14,"3,344.36","3,395.00","3,302.57","3,375.51","3,375.51",-
1-Feb-14,"3,201.12","3,362.62","3,121.85","3,347.38","3,347.38",-
1-Jan-14,"3,311.58","3,321.89","3,179.25","3,200.95","3,200.95",-
1-Dec-13,"3,235.18","3,317.24","3,169.13","3,315.59","3,315.59",-
1-Nov-13,"3,141.95","3,247.56","3,122.47","3,233.72","3,233.72",-
1-Oct-13,"3,001.92","3,171.20","2,939.67","3,138.09","3,138.09",-
1-Sep-13,"2,914.42","3,085.02","2,909.90","3,000.18","3,000.18",-
1-Aug-13,"3,002.58","3,038.63","2,898.57","2,908.96","2,908.96",-
1-Jul-13,"2,856.88","3,018.26","2,848.61","2,995.72","2,995.72",-
1-Jun-13,"2,891.18","2,933.99","2,768.16","2,850.66","2,850.66",-
1-May-13,"2,823.43","2,987.60","2,794.64","2,889.46","2,889.46",-
1-Apr-13,"2,770.06","2,823.42","2,714.23","2,823.42","2,823.42",-
1-Mar-13,"2,669.92","2,771.93","2,646.73","2,770.05","2,770.05",-
1-Feb-13,"2,634.16","2,696.26","2,616.67","2,669.92","2,669.92",-
1-Jan-13,"2,504.45","2,654.12","2,504.45","2,634.16","2,634.16",-
1-Dec-12,"2,481.82","2,540.69","2,450.78","2,504.44","2,504.44",-
1-Nov-12,"2,467.51","2,506.34","2,351.85","2,481.82","2,481.82",-
1-Oct-12,"2,514.32","2,567.68","2,451.70","2,467.51","2,467.51",-
1-Sep-12,"2,450.54","2,571.34","2,433.29","2,513.93","2,513.93",-
1-Aug-12,"2,396.61","2,483.87","2,354.13","2,450.60","2,450.60",-
1-Jul-12,"2,364.09","2,418.09","2,301.93","2,396.62","2,396.62",-
1-Jun-12,"2,270.25","2,364.47","2,194.89","2,363.79","2,363.79",-
1-May-12,"2,415.41","2,445.48","2,236.73","2,270.25","2,270.25",-
1-Apr-12,"2,430.68","2,454.63","2,344.16","2,415.42","2,415.42",-
1-Mar-12,"2,353.23","2,448.16","2,309.51","2,430.67","2,430.67",-
1-Feb-12,"2,255.76","2,374.11","2,255.76","2,353.23","2,353.23",-
1-Jan-12,"2,158.93","2,291.58","2,158.93","2,255.69","2,255.69",-
1-Dec-11,"2,137.08","2,178.43","2,062.53","2,158.94","2,158.94",-
1-Nov-11,"2,137.88","2,184.08","1,984.18","2,137.08","2,137.08",-
1-Oct-11,"1,930.43","2,208.88","1,834.21","2,141.81","2,141.81",-
1-Sep-11,"2,077.16","2,094.49","1,900.57","1,930.79","1,930.79",-
1-Aug-11,"2,196.60","2,221.74","1,901.05","2,076.78","2,076.78",-
1-Jul-11,"2,241.66","2,303.73","2,180.07","2,196.08","2,196.08",-
1-Jun-11,"2,279.66","2,279.66","2,133.97","2,241.66","2,241.66",-
1-May-11,"2,305.76","2,317.55","2,221.91","2,279.66","2,279.66",-
1-Apr-11,"2,239.45","2,307.32","2,188.47","2,305.76","2,305.76",-
1-Mar-11,"2,239.12","2,249.17","2,121.94","2,239.44","2,239.44",-
1-Feb-11,"2,165.77","2,265.63","2,165.77","2,238.55","2,238.55",-
1-Jan-11,"2,115.97","2,192.14","2,115.97","2,164.40","2,164.40",-
1-Dec-10,"1,986.35","2,122.19","1,986.35","2,114.29","2,114.29",-
1-Nov-10,"1,983.55","2,055.75","1,966.82","1,981.84","1,981.84",-
1-Oct-10,"1,911.10","2,002.58","1,893.19","1,981.59","1,981.59",-
1-Sep-10,"1,754.86","1,935.22","1,754.86","1,908.95","1,908.95",-
1-Aug-10,"1,837.69","1,882.44","1,735.57","1,752.55","1,752.55",-
1-Jul-10,"1,715.23","1,867.28","1,682.21","1,835.40","1,835.40",-
1-Jun-10,"1,810.01","1,881.42","1,711.18","1,715.23","1,715.23",-
1-May-10,"1,967.51","1,997.66","1,727.90","1,809.98","1,809.98",-
1-Apr-10,"1,938.08","2,021.41","1,938.08","1,967.05","1,967.05",-
1-Mar-10,"1,826.27","1,954.53","1,826.27","1,936.48","1,936.48",-
1-Feb-10,"1,796.67","1,838.41","1,723.46","1,826.27","1,826.27",-
1-Jan-10,"1,867.06","1,896.98","1,767.25","1,771.40","1,771.40",-
1-Dec-09,"1,803.10","1,862.19","1,787.73","1,837.50","1,837.50",-
1-Nov-09,"1,700.72","1,830.14","1,689.49","1,802.68","1,802.68",-
1-Oct-09,"1,732.68","1,807.08","1,672.05","1,700.67","1,700.67",-
1-Sep-09,"1,670.59","1,770.02","1,624.21","1,732.86","1,732.86",-
1-Aug-09,"1,612.32","1,701.34","1,600.12","1,670.52","1,670.52",-
1-Jul-09,"1,499.11","1,627.33","1,418.50","1,612.31","1,612.31",-
1-Jun-09,"1,495.97","1,557.85","1,448.77","1,498.94","1,498.94",-
1-May-09,"1,416.75","1,510.80","1,405.77","1,495.97","1,495.97",-
1-Apr-09,"1,293.23","1,442.29","1,270.18","1,416.73","1,416.73",-
1-Mar-09,"1,133.43","1,349.37","1,095.04","1,292.98","1,292.98",-
1-Feb-09,"1,329.81","1,403.19","1,188.84","1,188.84","1,188.84",-
1-Jan-09,"1,499.17","1,503.87","1,296.63","1,330.51","1,330.51",-
1-Dec-08,"1,309.39","1,466.87","1,309.39","1,452.98","1,452.98",-
1-Nov-08,"1,544.91","1,608.00","1,206.04","1,437.68","1,437.68",-
1-Oct-08,"1,853.26","1,853.26","1,356.78","1,548.81","1,548.81",-
1-Sep-08,"2,035.24","2,035.24","1,765.72","1,861.44","1,861.44",-
1-Aug-08,"2,003.16","2,076.59","1,985.23","2,043.53","2,043.53",-
1-Jul-08,"2,039.66","2,040.81","1,929.85","2,014.39","2,014.39",-
1-Jun-08,"2,195.27","2,225.74","2,028.89","2,031.47","2,031.47",-
1-May-08,"2,228.09","2,258.74","2,179.05","2,218.50","2,218.50",-
1-Apr-08,"2,163.38","2,209.25","2,098.92","2,190.13","2,190.13",-
1-Mar-08,"2,098.64","2,135.54","2,008.71","2,088.42","2,088.42",-
1-Feb-08,"2,194.43","2,194.43","2,087.05","2,097.48","2,097.48",-
1-Jan-08,"2,273.41","2,273.41","2,060.15","2,167.90","2,167.90",-
1-Dec-07,"2,308.74","2,378.60","2,269.24","2,306.23","2,306.23",-
1-Nov-07,"2,360.21","2,379.05","2,205.49","2,322.34","2,322.34",-
1-Oct-07,"2,417.44","2,447.03","2,346.78","2,423.67","2,423.67",-
1-Sep-07,"2,323.83","2,392.92","2,266.51","2,385.72","2,385.72",-
1-Aug-07,"2,282.30","2,333.24","2,193.40","2,299.71","2,299.71",-
1-Jul-07,"2,363.28","2,417.50","2,265.75","2,265.75","2,265.75",-
1-Jun-07,"2,386.63","2,391.13","2,316.63","2,338.25","2,338.25",-
1-May-07,"2,303.68","2,377.75","2,303.68","2,377.75","2,377.75",-
1-Apr-07,"2,205.85","2,317.50","2,205.85","2,297.58","2,297.58",-
1-Mar-07,"2,170.17","2,225.26","2,125.34","2,200.12","2,200.12",-
1-Feb-07,"2,231.61","2,255.48","2,163.11","2,175.78","2,175.78",-
1-Jan-07,"2,183.92","2,221.56","2,173.29","2,219.19","2,219.19",-
