,Credit Suisse Hedge Fund Index ,,,Credit Suisse Convertible Arbitrage Hedge Fund Index,,,Credit Suisse Dedicated Short Bias Hedge Fund Index,,,Credit Suisse Emerging Markets Hedge Fund Index,,,Credit Suisse Equity Market Neutral Hedge Fund Index,,,Credit Suisse Event Driven Hedge Fund Index,,,Credit Suisse Event Driven Distressed Hedge Fund Index,,,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,,,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,,,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,,,Credit Suisse Global Macro Hedge Fund Index,,,Credit Suisse Long/Short Equity Hedge Fund Index,,,Credit Suisse Managed Futures Hedge Fund Index,,,Credit Suisse Multi-Strategy Hedge Fund Index,,,Credit Suisse AllHedge Index,,,Credit Suisse AllHedge Convertible Arbitrage Index,,,Credit Suisse AllHedge Dedicated Short Bias Index,,,Credit Suisse AllHedge Emerging Markets Index,,,Credit Suisse AllHedge Equity Market Neutral Index,,,Credit Suisse AllHedge Event Driven Index,,,Credit Suisse AllHedge Fixed Income Arbitrage Index,,,Credit Suisse AllHedge Global Macro Index,,,Credit Suisse AllHedge Long/Short Equity Index,,,Credit Suisse AllHedge Managed Futures Index,,,Credit Suisse AllHedge Multi-Strategy Index,,
,HEDG,,,HEDG_CVARB,,,HEDG_DEDSH,,,HEDG_EMMKT,,,HEDG_EQNTR,,,HEDG_EVDRV,,,HEDG_DISTR,,,HEDG_MSEVD,,,HEDG_MRARB,,,HEDG_FIARB,,,HEDG_GLMAC,,,HEDG_LOSHO,,,HEDG_MGFUT,,,HEDG_MULTI,,,SECT,,,SECT_CVARB,,,SECT_DEDSH,,,SECT_EMMKT,,,SECT_EQNTR,,,SECT_EVDRV,,,SECT_FIARB,,,SECT_GLMAC,,,SECT_LOSHO,,,SECT_MGFUT,,,SECT_MULTI,,
Date,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR
11/30/2008,USD,351.2,-4.15%,USD,223.82,-1.88%,USD,90.46,3.04%,USD,263.92,-1.87%,USD,224.54,-40.45%,USD,400.56,-3.21%,USD,463.96,-5.00%,USD,372.86,-2.17%,USD,273.26,-0.02%,USD,168.13,-5.60%,USD,576.3,1.54%,USD,397.78,-1.41%,USD,277.61,3.22%,USD,280.04,-4.63%,USD,98.19,-3.28%,USD,60.17,-3.77%,USD,92.92,1.92%,USD,101.33,-5.06%,USD,90.05,-12.01%,USD,114.46,-2.81%,USD,65.78,-11.54%,USD,87.75,-3.06%,USD,102.6,-0.86%,USD,145.2,3.12%,USD,92.26,-4.81%
10/31/2008,USD,366.39,-6.30%,USD,228.1,-12.59%,USD,87.79,9.66%,USD,268.95,-13.63%,USD,377.08,-1.83%,USD,413.85,-5.09%,USD,488.38,-5.66%,USD,381.13,-4.77%,USD,273.31,-3.06%,USD,178.11,-14.04%,USD,567.56,-5.13%,USD,403.48,-7.13%,USD,268.96,4.96%,USD,293.63,-6.94%,USD,101.52,-10.45%,USD,62.53,-20.18%,USD,91.17,6.59%,USD,106.73,-20.65%,USD,102.34,-8.01%,USD,117.77,-4.75%,USD,74.36,-20.42%,USD,90.52,-13.77%,USD,103.49,-10.47%,USD,140.81,7.19%,USD,96.92,-13.43%
9/30/2008,USD,391.02,-6.55%,USD,260.96,-12.26%,USD,80.06,-6.08%,USD,311.39,-8.93%,USD,384.09,-1.41%,USD,436.03,-5.75%,USD,517.69,-5.18%,USD,400.2,-6.17%,USD,281.93,-3.49%,USD,207.19,-6.80%,USD,598.28,-6.63%,USD,434.47,-7.81%,USD,256.24,-0.57%,USD,315.52,-7.35%,USD,113.37,-8.54%,USD,78.34,-18.16%,USD,85.53,-15.94%,USD,134.51,-11.47%,USD,111.25,-1.04%,USD,123.64,-8.21%,USD,93.44,-8.27%,USD,104.98,-9.34%,USD,115.59,-9.63%,USD,131.37,1.18%,USD,111.96,-8.60%
8/31/2008,USD,418.43,-1.47%,USD,297.41,-0.66%,USD,85.24,-4.50%,USD,341.94,-4.00%,USD,389.57,-0.59%,USD,462.64,-0.16%,USD,545.97,-0.07%,USD,426.53,-0.20%,USD,292.13,-1.16%,USD,222.3,-0.70%,USD,640.79,-1.37%,USD,471.3,-2.11%,USD,257.7,-2.48%,USD,340.54,-1.26%,USD,123.96,-1.81%,USD,95.72,-0.83%,USD,101.75,-4.38%,USD,151.93,-3.17%,USD,112.42,-1.51%,USD,134.7,-0.64%,USD,101.86,-1.54%,USD,115.79,-4.57%,USD,127.91,-2.08%,USD,129.84,-2.19%,USD,122.49,-0.36%
7/31/2008,USD,424.68,-2.61%,USD,299.4,-2.14%,USD,89.26,2.98%,USD,356.17,-2.84%,USD,391.87,-0.06%,USD,463.36,-2.53%,USD,546.34,-2.59%,USD,427.38,-2.53%,USD,295.57,-0.39%,USD,223.86,-0.37%,USD,649.67,-2.64%,USD,481.48,-3.43%,USD,264.25,-4.20%,USD,344.89,-2.47%,USD,126.25,-2.93%,USD,96.52,-2.25%,USD,106.41,4.21%,USD,156.9,-4.06%,USD,114.14,-0.17%,USD,135.57,-3.56%,USD,103.45,-0.86%,USD,121.34,-3.31%,USD,130.63,-2.90%,USD,132.75,-4.52%,USD,122.93,-2.67%
6/30/2008,USD,436.05,0.00%,USD,305.96,-0.36%,USD,86.68,9.02%,USD,366.58,-1.59%,USD,392.1,0.55%,USD,475.4,-0.15%,USD,560.88,-0.51%,USD,438.47,0.09%,USD,296.74,-0.12%,USD,224.7,-0.47%,USD,667.27,2.00%,USD,498.59,-1.33%,USD,275.84,4.79%,USD,353.61,0.05%,USD,130.06,-1.49%,USD,98.74,-1.01%,USD,102.11,8.50%,USD,163.54,-3.14%,USD,114.33,0.45%,USD,140.58,-0.95%,USD,104.35,-1.00%,USD,125.49,2.01%,USD,134.53,-4.08%,USD,139.04,4.11%,USD,126.3,-1.14%
5/31/2008,USD,436.07,2.00%,USD,307.08,1.50%,USD,79.51,0.86%,USD,372.5,2.14%,USD,389.96,1.10%,USD,476.12,1.89%,USD,563.74,1.50%,USD,438.08,2.20%,USD,297.11,-0.18%,USD,225.76,1.26%,USD,654.18,1.80%,USD,505.31,2.91%,USD,263.22,1.44%,USD,353.43,1.20%,USD,132.03,1.90%,USD,99.75,1.78%,USD,94.11,1.04%,USD,168.85,1.68%,USD,113.82,0.20%,USD,141.93,2.18%,USD,105.4,1.22%,USD,123.02,2.37%,USD,140.25,2.19%,USD,133.55,1.85%,USD,127.75,1.34%
4/30/2008,USD,427.53,0.57%,USD,302.53,1.11%,USD,78.83,-7.30%,USD,364.71,0.17%,USD,385.71,0.31%,USD,467.28,0.51%,USD,555.41,0.24%,USD,428.67,0.68%,USD,297.64,0.88%,USD,222.95,2.07%,USD,642.6,-1.59%,USD,491,2.20%,USD,259.49,-2.15%,USD,349.23,0.66%,USD,129.57,1.16%,USD,98.01,0.65%,USD,93.14,-8.11%,USD,166.06,1.45%,USD,113.59,-0.81%,USD,138.9,1.15%,USD,104.13,1.09%,USD,120.17,-0.05%,USD,137.25,2.86%,USD,131.12,-3.35%,USD,126.06,0.66%
3/31/2008,USD,425.1,-2.11%,USD,299.22,-5.93%,USD,85.04,4.86%,USD,364.09,-3.30%,USD,384.5,0.01%,USD,464.91,-1.72%,USD,554.07,-1.04%,USD,425.78,-2.21%,USD,295.04,1.62%,USD,218.43,-6.43%,USD,652.97,-1.70%,USD,480.43,-2.06%,USD,265.19,-0.53%,USD,346.94,-1.89%,USD,128.08,-2.41%,USD,97.38,-8.06%,USD,101.36,4.34%,USD,163.68,-4.82%,USD,114.52,-1.08%,USD,137.32,-1.56%,USD,103.01,-1.99%,USD,120.23,-3.85%,USD,133.44,-2.21%,USD,135.66,-0.29%,USD,125.23,-2.42%
2/29/2008,USD,434.26,1.61%,USD,318.09,-1.29%,USD,81.1,-0.89%,USD,376.5,1.78%,USD,384.46,1.07%,USD,473.03,0.85%,USD,559.91,0.17%,USD,435.41,1.26%,USD,290.35,1.26%,USD,233.43,-0.66%,USD,664.25,4.11%,USD,490.55,2.06%,USD,266.61,6.61%,USD,353.64,-0.27%,USD,131.24,0.87%,USD,105.92,-3.44%,USD,97.14,-0.40%,USD,171.97,1.60%,USD,115.77,0.41%,USD,139.5,1.36%,USD,105.1,-0.29%,USD,125.05,1.65%,USD,136.46,0.82%,USD,136.06,5.37%,USD,128.34,-1.56%
1/31/2008,USD,427.4,-1.48%,USD,322.26,-0.53%,USD,81.83,5.68%,USD,369.91,-2.67%,USD,380.4,0.69%,USD,469.06,-2.44%,USD,558.96,-1.70%,USD,429.98,-2.94%,USD,286.73,-0.10%,USD,234.97,0.28%,USD,638.05,4.44%,USD,480.67,-4.05%,USD,250.08,4.13%,USD,354.58,-1.81%,USD,130.11,-1.85%,USD,109.69,-0.84%,USD,97.53,5.20%,USD,169.26,-5.34%,USD,115.3,-1.32%,USD,137.63,-2.22%,USD,105.41,0.85%,USD,123.02,5.61%,USD,135.35,-5.28%,USD,129.12,4.10%,USD,130.38,-2.17%
12/31/2007,USD,433.82,0.47%,USD,323.98,-0.40%,USD,77.43,0.06%,USD,380.07,1.32%,USD,377.78,0.48%,USD,480.8,0.32%,USD,568.63,0.06%,USD,443.01,0.50%,USD,287.01,-0.63%,USD,234.31,0.21%,USD,610.92,1.50%,USD,500.98,0.42%,USD,240.16,0.32%,USD,361.1,-0.31%,USD,132.56,0.20%,USD,110.62,-1.68%,USD,92.71,0.67%,USD,178.81,1.18%,USD,116.84,-0.17%,USD,140.75,0.01%,USD,104.52,0.28%,USD,116.48,3.03%,USD,142.9,-0.23%,USD,124.04,-0.25%,USD,133.27,-1.14%
11/30/2007,USD,431.81,-1.21%,USD,325.28,-1.48%,USD,77.38,10.31%,USD,375.13,-1.85%,USD,375.97,0.56%,USD,479.29,-1.68%,USD,568.28,-1.30%,USD,440.8,-1.94%,USD,288.83,-0.80%,USD,233.82,-0.25%,USD,601.87,-0.17%,USD,498.88,-1.71%,USD,239.39,-0.95%,USD,362.21,-1.14%,USD,132.3,-1.17%,USD,112.51,-2.16%,USD,92.09,9.67%,USD,176.72,-2.25%,USD,117.04,-0.81%,USD,140.74,-1.75%,USD,104.23,1.25%,USD,113.05,0.96%,USD,143.23,-1.82%,USD,124.35,-0.42%,USD,134.81,-1.63%
10/31/2007,USD,437.08,3.16%,USD,330.17,2.18%,USD,70.15,-2.49%,USD,382.21,5.48%,USD,373.87,1.50%,USD,487.47,2.91%,USD,575.78,1.41%,USD,449.51,3.84%,USD,291.15,2.13%,USD,234.41,1.15%,USD,602.89,2.72%,USD,507.57,3.73%,USD,241.69,4.06%,USD,366.37,3.02%,USD,133.87,2.83%,USD,114.99,1.32%,USD,83.97,-2.90%,USD,180.79,5.07%,USD,118,1.42%,USD,143.25,2.36%,USD,102.94,1.55%,USD,111.98,2.54%,USD,145.88,3.24%,USD,124.87,4.48%,USD,137.04,2.88%
9/30/2007,USD,423.68,2.71%,USD,323.14,1.97%,USD,71.94,-4.94%,USD,362.34,4.77%,USD,368.34,1.30%,USD,473.7,1.60%,USD,567.75,1.14%,USD,432.89,1.82%,USD,285.08,3.22%,USD,231.74,1.85%,USD,586.95,4.10%,USD,489.3,3.31%,USD,232.27,5.13%,USD,355.63,1.77%,USD,130.19,2.35%,USD,113.49,1.87%,USD,86.48,-4.22%,USD,172.07,5.75%,USD,116.35,1.14%,USD,139.95,1.44%,USD,101.37,1.50%,USD,109.21,1.92%,USD,141.3,2.82%,USD,119.51,4.65%,USD,133.2,1.76%
8/31/2007,USD,412.52,-1.53%,USD,316.91,-1.08%,USD,75.68,-1.14%,USD,345.83,-2.37%,USD,363.6,-0.39%,USD,466.24,-1.88%,USD,561.35,-1.73%,USD,425.17,-2.03%,USD,276.2,-0.65%,USD,227.53,-0.87%,USD,563.82,-0.62%,USD,473.62,-1.38%,USD,220.93,-4.61%,USD,349.43,-1.40%,USD,127.2,-1.70%,USD,111.41,-1.46%,USD,90.29,-0.69%,USD,162.71,-3.00%,USD,115.04,-0.66%,USD,137.97,-2.05%,USD,99.87,-0.42%,USD,107.15,-1.73%,USD,137.42,-1.33%,USD,114.2,-3.97%,USD,130.89,-1.21%
7/31/2007,USD,418.93,0.00%,USD,320.38,-1.11%,USD,76.55,7.14%,USD,354.22,2.55%,USD,365.03,0.40%,USD,475.16,0.97%,USD,571.24,-0.24%,USD,433.99,1.80%,USD,278.01,0.43%,USD,229.52,-1.96%,USD,567.32,0.96%,USD,480.24,-0.69%,USD,231.6,-4.79%,USD,354.38,-0.26%,USD,129.4,-0.31%,USD,113.06,-1.90%,USD,90.92,6.44%,USD,167.75,3.43%,USD,115.81,0.09%,USD,140.86,-0.18%,USD,100.29,0.83%,USD,109.04,0.63%,USD,139.27,-1.33%,USD,118.92,-3.80%,USD,132.49,-0.17%
6/30/2007,USD,418.95,0.78%,USD,323.99,0.28%,USD,71.45,1.20%,USD,345.4,1.83%,USD,363.56,0.56%,USD,470.61,0.73%,USD,572.64,0.95%,USD,426.31,0.61%,USD,276.83,0.00%,USD,234.12,0.21%,USD,561.93,1.22%,USD,483.56,0.42%,USD,243.25,3.03%,USD,355.29,0.37%,USD,129.8,0.06%,USD,115.25,-0.17%,USD,85.42,1.29%,USD,162.19,1.67%,USD,115.71,0.36%,USD,141.11,-0.30%,USD,99.46,-6.25%,USD,108.36,0.90%,USD,141.15,0.38%,USD,123.62,3.02%,USD,132.71,0.25%
5/31/2007,USD,415.71,2.31%,USD,323.1,1.19%,USD,70.6,-2.20%,USD,339.19,1.72%,USD,361.53,0.75%,USD,467.21,3.24%,USD,567.24,2.08%,USD,423.72,4.31%,USD,276.84,0.04%,USD,233.62,0.24%,USD,555.18,1.79%,USD,481.56,2.31%,USD,236.1,5.13%,USD,353.99,2.29%,USD,129.72,1.63%,USD,115.45,1.14%,USD,84.33,-2.98%,USD,159.52,1.19%,USD,115.3,0.65%,USD,141.53,2.72%,USD,106.09,-3.08%,USD,107.39,0.74%,USD,140.62,2.02%,USD,120,4.78%,USD,132.38,1.56%
4/30/2007,USD,406.33,2.02%,USD,319.29,0.56%,USD,72.19,-2.74%,USD,333.44,2.24%,USD,358.84,1.01%,USD,452.55,1.52%,USD,555.68,1.57%,USD,406.22,1.44%,USD,276.73,2.15%,USD,233.05,1.00%,USD,545.43,1.71%,USD,470.69,2.90%,USD,224.57,4.02%,USD,346.06,1.69%,USD,127.64,1.65%,USD,114.15,0.11%,USD,86.92,-3.35%,USD,157.65,1.53%,USD,114.56,0.76%,USD,137.78,1.76%,USD,109.46,0.01%,USD,106.6,1.42%,USD,137.84,2.05%,USD,114.53,4.40%,USD,130.35,1.41%
3/31/2007,USD,398.28,1.24%,USD,317.5,0.68%,USD,74.22,-0.62%,USD,326.14,1.96%,USD,355.24,1.65%,USD,445.79,1.27%,USD,547.11,1.27%,USD,400.47,1.26%,USD,270.9,1.29%,USD,230.74,0.90%,USD,536.26,1.21%,USD,457.41,1.87%,USD,215.9,-2.54%,USD,340.3,0.82%,USD,125.57,1.14%,USD,114.02,0.41%,USD,89.93,-0.90%,USD,155.28,0.92%,USD,113.7,1.30%,USD,135.4,1.30%,USD,109.45,0.31%,USD,105.11,1.13%,USD,135.07,2.17%,USD,109.7,-3.22%,USD,128.54,0.74%
2/28/2007,USD,393.42,0.74%,USD,315.36,1.16%,USD,74.68,0.77%,USD,319.87,1.13%,USD,349.47,0.47%,USD,440.22,1.55%,USD,540.23,1.21%,USD,395.49,1.81%,USD,267.44,1.15%,USD,228.69,1.21%,USD,529.87,0.50%,USD,449.02,0.71%,USD,221.53,-4.38%,USD,337.53,1.20%,USD,124.15,0.48%,USD,113.55,1.07%,USD,90.75,1.04%,USD,153.87,0.77%,USD,112.24,0.32%,USD,133.66,1.29%,USD,109.11,0.91%,USD,103.94,0.79%,USD,132.2,0.22%,USD,113.35,-4.31%,USD,127.6,0.96%
1/31/2007,USD,390.53,1.33%,USD,311.75,1.20%,USD,74.11,1.49%,USD,316.29,0.08%,USD,347.85,0.61%,USD,433.5,2.06%,USD,533.76,1.71%,USD,388.44,2.43%,USD,264.4,0.20%,USD,225.95,0.12%,USD,527.26,1.29%,USD,445.86,1.15%,USD,231.67,2.26%,USD,333.53,1.70%,USD,123.56,1.31%,USD,112.35,0.84%,USD,89.82,0.89%,USD,152.69,-0.75%,USD,111.88,0.42%,USD,131.96,2.54%,USD,108.13,0.32%,USD,103.13,0.47%,USD,131.91,1.30%,USD,118.46,1.62%,USD,126.39,1.80%
12/31/2006,USD,385.41,1.83%,USD,308.06,1.49%,USD,73.02,0.63%,USD,316.03,2.84%,USD,345.74,0.88%,USD,424.74,1.58%,USD,524.79,1.68%,USD,379.22,1.59%,USD,263.87,0.49%,USD,225.67,0.72%,USD,520.55,1.36%,USD,440.78,2.08%,USD,226.54,4.05%,USD,327.96,1.77%,USD,121.96,1.71%,USD,111.41,1.18%,USD,89.03,0.84%,USD,153.84,4.29%,USD,111.41,0.27%,USD,128.69,1.33%,USD,107.79,1.26%,USD,102.65,1.56%,USD,130.22,1.78%,USD,116.57,1.88%,USD,124.16,1.62%
11/30/2006,USD,378.47,2.07%,USD,303.55,1.06%,USD,72.56,-5.46%,USD,307.29,3.15%,USD,342.72,0.97%,USD,418.12,2.09%,USD,516.11,1.59%,USD,373.3,2.39%,USD,262.58,3.01%,USD,224.06,1.16%,USD,513.57,1.44%,USD,431.79,2.60%,USD,217.73,2.22%,USD,322.25,2.26%,USD,119.91,1.73%,USD,110.11,0.85%,USD,88.29,-2.61%,USD,147.51,2.71%,USD,111.11,0.28%,USD,127,2.16%,USD,106.45,0.27%,USD,101.07,1.02%,USD,127.94,1.98%,USD,114.42,2.45%,USD,122.18,1.66%
10/31/2006,USD,370.79,1.77%,USD,300.36,0.68%,USD,76.75,-4.25%,USD,297.9,2.86%,USD,339.42,0.39%,USD,409.57,2.23%,USD,508.04,2.65%,USD,364.6,2.08%,USD,254.9,-0.16%,USD,221.48,0.74%,USD,506.3,1.08%,USD,420.83,2.19%,USD,213,1.73%,USD,315.14,1.61%,USD,117.87,1.44%,USD,109.18,0.88%,USD,90.66,-5.21%,USD,143.62,3.07%,USD,110.8,0.14%,USD,124.31,1.99%,USD,106.16,0.72%,USD,100.05,-0.36%,USD,125.46,1.86%,USD,111.68,0.92%,USD,120.19,1.57%
9/30/2006,USD,364.34,0.13%,USD,298.32,1.15%,USD,80.16,-3.11%,USD,289.61,-0.45%,USD,338.11,0.20%,USD,400.65,0.60%,USD,494.91,0.50%,USD,357.16,0.69%,USD,255.32,0.22%,USD,219.85,-0.02%,USD,500.88,0.02%,USD,411.8,0.09%,USD,209.38,-1.15%,USD,310.16,0.32%,USD,116.2,0.01%,USD,108.23,0.89%,USD,95.64,-2.53%,USD,139.34,-1.18%,USD,110.64,0.03%,USD,121.88,0.63%,USD,105.4,-0.35%,USD,100.41,-1.17%,USD,123.17,0.12%,USD,110.66,-0.20%,USD,118.33,0.35%
8/31/2006,USD,363.87,0.85%,USD,294.93,1.01%,USD,82.73,-0.72%,USD,290.91,1.42%,USD,337.42,0.31%,USD,398.28,1.05%,USD,492.44,1.15%,USD,354.72,1.03%,USD,254.77,0.35%,USD,219.89,-0.02%,USD,500.8,-0.77%,USD,411.45,1.54%,USD,211.82,1.39%,USD,309.16,0.58%,USD,116.19,0.78%,USD,107.27,1.13%,USD,98.12,-1.11%,USD,141,1.01%,USD,110.61,-0.04%,USD,121.12,0.98%,USD,105.77,-0.59%,USD,101.6,-1.39%,USD,123.02,1.95%,USD,110.88,1.69%,USD,117.92,0.60%
7/31/2006,USD,360.79,0.29%,USD,291.98,0.79%,USD,83.33,2.89%,USD,286.84,1.99%,USD,336.39,1.26%,USD,394.14,0.04%,USD,486.84,-0.09%,USD,351.11,0.11%,USD,253.87,0.46%,USD,219.94,0.24%,USD,504.7,1.36%,USD,405.21,-0.05%,USD,208.92,-2.43%,USD,307.37,0.19%,USD,115.29,0.02%,USD,106.07,0.60%,USD,99.22,2.95%,USD,139.59,1.45%,USD,110.65,1.05%,USD,119.95,0.44%,USD,106.4,-0.08%,USD,103.03,-0.36%,USD,120.67,-0.25%,USD,109.04,-2.67%,USD,117.22,0.15%
6/30/2006,USD,359.76,-0.11%,USD,289.7,0.35%,USD,80.99,5.15%,USD,281.24,-0.14%,USD,332.21,0.27%,USD,393.99,0.75%,USD,487.28,0.76%,USD,350.74,0.78%,USD,252.71,0.20%,USD,219.41,0.62%,USD,497.91,0.44%,USD,405.41,-1.01%,USD,214.12,-2.04%,USD,306.79,0.00%,USD,115.27,-0.16%,USD,105.44,0.07%,USD,96.38,3.08%,USD,137.59,-0.22%,USD,109.5,0.07%,USD,119.43,0.64%,USD,106.48,0.88%,USD,103.4,-0.54%,USD,120.97,-0.99%,USD,112.03,-1.98%,USD,117.04,0.32%
5/31/2006,USD,360.14,-1.30%,USD,288.69,0.76%,USD,77.02,5.39%,USD,281.64,-5.02%,USD,331.3,0.82%,USD,391.07,-0.09%,USD,483.62,0.39%,USD,348.03,-0.43%,USD,252.2,-0.15%,USD,218.05,0.81%,USD,495.75,-0.60%,USD,409.55,-2.84%,USD,218.57,-2.70%,USD,306.78,-0.11%,USD,115.45,-1.21%,USD,105.37,0.38%,USD,93.5,5.23%,USD,137.9,-3.61%,USD,109.42,0.08%,USD,118.67,0.06%,USD,105.55,0.33%,USD,103.96,-0.90%,USD,122.18,-3.35%,USD,114.29,-1.33%,USD,116.67,-0.03%
4/30/2006,USD,364.88,2.22%,USD,286.51,0.75%,USD,73.08,-0.75%,USD,296.51,3.82%,USD,328.61,2.02%,USD,391.41,1.75%,USD,481.74,1.52%,USD,349.55,2.01%,USD,252.57,0.30%,USD,216.3,2.05%,USD,498.74,2.86%,USD,421.51,2.34%,USD,224.64,2.92%,USD,307.12,1.58%,USD,116.86,1.70%,USD,104.97,0.61%,USD,88.85,-0.55%,USD,143.06,3.93%,USD,109.33,1.18%,USD,118.6,1.64%,USD,105.2,1.53%,USD,104.9,1.89%,USD,126.42,1.35%,USD,115.83,3.52%,USD,116.7,1.30%
3/31/2006,USD,356.97,1.82%,USD,284.38,1.48%,USD,73.63,-3.32%,USD,285.6,1.37%,USD,322.11,1.62%,USD,384.69,1.50%,USD,474.53,1.73%,USD,342.65,1.35%,USD,251.81,0.97%,USD,211.95,0.57%,USD,484.86,1.06%,USD,411.88,2.45%,USD,218.27,4.08%,USD,302.34,2.05%,USD,114.91,1.63%,USD,104.33,1.35%,USD,89.34,-2.63%,USD,137.65,1.65%,USD,108.06,1.22%,USD,116.69,1.53%,USD,103.61,0.68%,USD,102.95,-0.37%,USD,124.74,2.58%,USD,111.89,3.19%,USD,115.2,1.93%
2/28/2006,USD,350.58,0.34%,USD,280.22,1.18%,USD,76.16,0.40%,USD,281.73,1.56%,USD,316.99,0.50%,USD,379.02,0.34%,USD,466.45,0.21%,USD,338.09,0.43%,USD,249.39,0.58%,USD,210.75,0.06%,USD,479.76,1.23%,USD,402.03,0.14%,USD,209.71,-2.62%,USD,296.26,0.69%,USD,113.07,0.34%,USD,102.94,1.22%,USD,91.75,0.51%,USD,135.42,2.72%,USD,106.76,0.26%,USD,114.93,0.10%,USD,102.91,-0.05%,USD,103.33,0.31%,USD,121.6,0.31%,USD,108.43,-1.58%,USD,113.02,0.74%
1/31/2006,USD,349.4,3.23%,USD,276.95,2.75%,USD,75.86,-2.98%,USD,277.4,5.76%,USD,315.41,1.40%,USD,377.73,2.92%,USD,465.48,2.52%,USD,336.65,3.32%,USD,247.96,1.63%,USD,210.63,1.42%,USD,473.94,3.37%,USD,401.47,4.18%,USD,215.35,2.71%,USD,294.23,2.76%,USD,112.69,2.64%,USD,101.7,2.49%,USD,91.28,-3.86%,USD,131.84,6.85%,USD,106.48,1.35%,USD,114.81,2.57%,USD,102.96,0.90%,USD,103.01,1.62%,USD,121.22,4.03%,USD,110.17,0.13%,USD,112.19,2.40%
12/31/2005,USD,338.48,1.61%,USD,269.53,0.96%,USD,78.19,-1.96%,USD,262.28,2.44%,USD,311.05,1.44%,USD,367.02,1.45%,USD,454.05,1.73%,USD,325.84,1.27%,USD,243.99,0.85%,USD,207.68,0.45%,USD,458.5,1.58%,USD,385.37,2.78%,USD,209.66,-2.53%,USD,286.33,1.89%,USD,109.79,1.17%,USD,99.23,0.35%,USD,94.94,-1.16%,USD,123.39,2.65%,USD,105.06,0.72%,USD,111.93,1.19%,USD,102.04,0.32%,USD,101.37,0.65%,USD,116.52,2.24%,USD,110.03,-3.21%,USD,109.56,1.84%
11/30/2005,USD,333.11,1.48%,USD,266.96,-0.43%,USD,79.75,-1.25%,USD,256.03,2.43%,USD,306.64,0.18%,USD,361.76,1.28%,USD,446.31,1.63%,USD,321.74,1.03%,USD,241.93,1.01%,USD,206.74,-0.58%,USD,451.35,1.08%,USD,374.95,2.22%,USD,215.11,4.17%,USD,281.02,1.30%,USD,108.52,0.98%,USD,98.88,-0.48%,USD,96.05,-3.19%,USD,120.2,2.67%,USD,104.31,0.59%,USD,110.61,0.97%,USD,101.71,-0.51%,USD,100.72,0.00%,USD,113.97,1.80%,USD,113.68,3.28%,USD,107.58,0.46%
10/31/2005,USD,328.25,-1.46%,USD,268.12,-0.07%,USD,80.76,2.64%,USD,249.96,-2.78%,USD,306.1,0.83%,USD,357.2,-1.82%,USD,439.16,-0.10%,USD,318.47,-3.10%,USD,239.5,-1.12%,USD,207.95,0.27%,USD,446.53,-0.86%,USD,366.8,-2.29%,USD,206.5,-1.97%,USD,277.42,-1.03%,USD,107.47,-1.41%,USD,99.36,-0.34%,USD,99.22,2.97%,USD,117.07,-5.11%,USD,103.7,0.44%,USD,109.55,-1.24%,USD,102.23,0.38%,USD,100.72,-1.98%,USD,111.95,-2.72%,USD,110.07,1.13%,USD,107.09,-0.68%
9/30/2005,USD,333.1,1.63%,USD,268.3,1.10%,USD,78.68,3.00%,USD,257.11,4.12%,USD,303.57,0.90%,USD,363.81,1.07%,USD,439.6,1.24%,USD,328.66,1.00%,USD,242.22,0.23%,USD,207.4,0.12%,USD,450.41,2.43%,USD,375.39,2.02%,USD,210.64,1.38%,USD,280.31,1.61%,USD,109.01,1.60%,USD,99.7,1.03%,USD,96.36,1.89%,USD,123.37,6.37%,USD,103.25,0.28%,USD,110.93,0.60%,USD,101.84,0.65%,USD,102.75,1.78%,USD,115.08,2.46%,USD,108.84,1.35%,USD,107.82,1.22%
8/31/2005,USD,327.77,0.88%,USD,265.37,0.72%,USD,76.39,2.48%,USD,246.93,2.29%,USD,300.87,0.86%,USD,359.95,0.85%,USD,434.2,1.00%,USD,325.4,0.76%,USD,241.67,0.60%,USD,207.16,0.51%,USD,439.74,0.71%,USD,367.95,1.12%,USD,207.78,-0.87%,USD,275.86,1.04%,USD,107.29,0.73%,USD,98.68,0.52%,USD,94.57,1.89%,USD,115.98,2.36%,USD,102.96,0.45%,USD,110.27,1.15%,USD,101.18,0.15%,USD,100.95,-0.73%,USD,112.32,1.26%,USD,107.39,-0.65%,USD,106.52,0.95%
